Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Irish Village,Garhoud,Dubai,N/A,04-2824750,N/A,https://www.yellowpages-uae.com/irish-village-175621.html,
Isfahan Night Restaurant,Old Airport Rd,Abu Dhabi,32890,02-4466122,N/A,https://www.yellowpages-uae.com/isfahan-night-restaurant-142505.html,
Isfahan Restaurant,"Near Sharjah Cinema, Mina St",Sharjah,4441,06-5697727,N/A,https://www.yellowpages-uae.com/isfahan-restaurant-129546.html,
Istanboul Flower Restaurant & Cafeteria,Shk Zayed Rd,Dubai,72730,04-3434585,N/A,https://www.yellowpages-uae.com/istanboul-flower-restaurant-cafeteria-151050.html,
Istanbouli Restaurant,N/A,Abu Dhabi,N/A,02-6212557,N/A,https://www.yellowpages-uae.com/istanbouli-restaurant-145582.html,
Istanbul Flower Restaurant and Cafeteria,"64, Food Court, Al Razi Bldg, DHCC",Dubai,72730,04-4495330,N/A,https://www.yellowpages-uae.com/istanbul-flower-restaurant-and-cafeteria-115876.html,
ITC Restaurant,"Gate Building, Near to Burj 2000 Bldg, Rolla",Sharjah,N/A,06-5635017,N/A,https://www.yellowpages-uae.com/itc-restaurant-144051.html,
Its Malabar Restaurant LLC,"Baghdad St, Al Qusais",Dubai,239287,04-2520004,N/A,https://www.yellowpages-uae.com/its-malabar-restaurant-llc-175252.html,
Itsu,"Emaar Building, Near Spinneys, Marina Walk",Dubai,N/A,04-3626351,N/A,https://www.yellowpages-uae.com/itsu-175639.html,
Jaam E Jam Restaurant & Cafe,Jumeira 1,Dubai,51777,04-3441717,N/A,https://www.yellowpages-uae.com/jaam-e-jam-restaurant-cafe-147390.html,
Jabal Al Noor Cafeteria & Restaurant,"Mai Tower, Near Lulu Hypermarket, Al Nahda",Dubai,N/A,04-2963330,N/A,https://www.yellowpages-uae.com/jabal-al-noor-cafeteria-restaurant-175230.html,
Jabal Al Rahma Cafeteria & Restaurant,Hor Al Anz,Dubai,N/A,04-2970447,N/A,https://www.yellowpages-uae.com/jabal-al-rahma-cafeteria-restaurant-147660.html,
Jabal Safad Restaurant and Cafeteria,Opp Madina S/Market,Fujairah,3796,09-2242088,N/A,https://www.yellowpages-uae.com/jabal-safad-restaurant-and-cafeteria-114668.html,
Jacky's Star Restaurant,"Damascus St, Al Qusais",Dubai,N/A,04-2582400,N/A,https://www.yellowpages-uae.com/jacky-s-star-restaurant-148017.html,
Jafary Hotel,Electra St,Abu Dhabi,3987,02-6332728,N/A,https://www.yellowpages-uae.com/jafary-hotel-111229.html,
Jaipur Restaurant,Burj Khalifa,Dubai,20899,04-4226767,N/A,https://www.yellowpages-uae.com/jaipur-restaurant-114500.html,
Japengo Cafe,The Dubai Mall,Dubai,N/A,04-4341433,N/A,https://www.yellowpages-uae.com/japengo-caf--145641.html,
Jar Al Qamar Restaurant,Etisalat Rd,Abu Dhabi,N/A,02-2222770,N/A,https://www.yellowpages-uae.com/jar-al-qamar-restaurant-164590.html,
Jedoudna Restaurant,"Shop No. 12, Rimal Hotel, JBR",Dubai,N/A,04-4230766,N/A,https://www.yellowpages-uae.com/jedoudna-restaurant-175640.html,
Jesir Al Madinah Cafeteria,"Near Al Manama Hypermarket, Opposite Traffic Police Office",Sharjah,46528,06-5480426,N/A,https://www.yellowpages-uae.com/jesir-al-madinah-cafeteria-175367.html,
Jetty Lounge,"One & Only Royal Mirage, Sufouh",Dubai,N/A,04-3999999,N/A,https://www.yellowpages-uae.com/jetty-lounge-175761.html,
Jharokha Indian & Chinese Restaurant,"Shop 15, Jumeirah Bay Tower, X2, JLT",Dubai,N/A,04-3619601,N/A,https://www.yellowpages-uae.com/jharokha-indian-chinese-restaurant-175313.html,
Jimma Cafe,Deira,Dubai,N/A,04-2717610,N/A,https://www.yellowpages-uae.com/jimma-cafe-175762.html,
Jims Kitchen Table,Masdar City,Abu Dhabi,N/A,02-4919401,N/A,https://www.yellowpages-uae.com/jims-kitchen-table-175654.html,
Jing Asia,"Crowne Plaza, Abu Dhabi Yas Island",Abu Dhabi,N/A,02-6563000,N/A,https://www.yellowpages-uae.com/jing-asia-175703.html,
Jodha Akbar Restaurant,"225, Jumeirah St., Umm Suqeim 1",Dubai,N/A,04-3308863,N/A,https://www.yellowpages-uae.com/dubai-jodha-akbar-restaurant-187730.html,
Johar Restaurant,"Al Fahidi St, Bur Dubai",Dubai,12516,04-3523509,N/A,https://www.yellowpages-uae.com/johar-restaurant-111617.html,
Jouharat Al Arab Refreshment,Khalidia St,Abu Dhabi,75256,02-6665141,N/A,https://www.yellowpages-uae.com/jouharat-al-arab-refreshment-124782.html,
Juice World,"Near Al Rigga MS, Al Rigga St, Deira",Dubai,184934,04-2999465,N/A,https://www.yellowpages-uae.com/juice-world-175247.html,
Jumeira Falcon Cafeteria & Restaurant,"Al Baraka Masjid Bldg, Near Irani Hospital, Jumeirah 1",Dubai,N/A,04-3455540,N/A,https://www.yellowpages-uae.com/jumeira-falcon-cafeteria-restaurant-146017.html,
Just Falafel,Hamdan St,Abu Dhabi,N/A,02-6262099,N/A,https://www.yellowpages-uae.com/just-falafel-145309.html,
K & K Restaurant,Ras Al Khor,Dubai,65892,04-2896785,N/A,https://www.yellowpages-uae.com/k-k-restaurant-152390.html,
Kabab Erbil Iraqi Restaurant,Al Rigga,Dubai,N/A,04-2691722,N/A,https://www.yellowpages-uae.com/kabab-erbil-iraqi-restaurant-175245.html,
Kabab House,"Near Dubai Hosp, Al Khaleej St, Deira",Dubai,N/A,04-2699980,N/A,https://www.yellowpages-uae.com/kabab-house-175345.html,
Kabab Rolls,Khalidiya Mall,Abu Dhabi,N/A,02-6390089,N/A,https://www.yellowpages-uae.com/kabab-rolls-145310.html,
Kabab Rolls Al Barsha Restaurant LLC,"Shop 2, Barsha Business Square, Al Barsha 1",Dubai,391143,04-3256166,N/A,https://www.yellowpages-uae.com/kabab-rolls-al-barsha-restaurant-llc-143416.html,
Kababi Restaurant,"Next to Emirates NBD, Opposite Dubai Zoo, Jumeirah Beach Road, Jumeirah 1",Dubai,N/A,04-3435910,N/A,https://www.yellowpages-uae.com/al-barza-restaurant-and-cafe-175496.html,
Kababs & Kurries,"The Souk, Central Market",Abu Dhabi,N/A,02-6882522,N/A,https://www.yellowpages-uae.com/kababs-kurries-175637.html,
Kabul Darbar Restaurant,"Naif Rd, Deira",Dubai,N/A,04-2394445,N/A,https://www.yellowpages-uae.com/kabul-darbar-restaurant-175305.html,
Kaffa Beans,Dubai Silicon Oasis,Dubai,N/A,04-3312204,N/A,https://www.yellowpages-uae.com/kaffa-beans-175281.html,
Kairali Restaurant,"Al Rayan Hotel Bldg, Abubaker Al Siddiq St, Al Nakheel",Ajman,4895,06-7457676,N/A,https://www.yellowpages-uae.com/kairali-restaurant-150832.html,
Kalispera Cafe,Defense Rd,Abu Dhabi,106854,02-6418283,N/A,https://www.yellowpages-uae.com/kalispera-cafe-131700.html,
Kamat,"Ground Level, Bay Avenue, Executive Towers G, Business Bay",Dubai,28106,04-4535471,N/A,https://www.yellowpages-uae.com/kamat-104878.html,
Kanzaman Restaurant,Al Shindaga Heritage Village,Dubai,111488,04-3342243,N/A,https://www.yellowpages-uae.com/kanzaman-restaurant-127905.html,
Karachi Golden Restaurant & Cafeteria,Bhnd Hor Al Anz Park,Dubai,N/A,04-2689100,N/A,https://www.yellowpages-uae.com/karachi-golden-restaurant-cafeteria-147389.html,
Karachi Inn Restaurant LLC,N/A,Dubai,N/A,04-3598200,N/A,https://www.yellowpages-uae.com/karachi-inn-restaurant-llc-142826.html,
Karachi Restaurant,Al Qusais Indl Area 3,Dubai,6120,04-2673131,N/A,https://www.yellowpages-uae.com/karachi-restaurant-106477.html,
Karaikudi Aachi Restaurant & Sweets LLC,"Shop 1, Al Fahidi Souq, Bur Dubai",Dubai,242927,04-3231346,N/A,https://www.yellowpages-uae.com/karaikudi-aachi-restaurant-sweets-llc-175294.html,
Karak Time Cafeteria,"Bhnd NMC Hosp, Al Nahda 2, Al Qusais",Dubai,N/A,04-2588844,N/A,https://www.yellowpages-uae.com/karak-time-cafeteria-175244.html,
Kashmir Palace Restaurant,"Hamdan Colony, Karama",Dubai,32765,04-3963086,N/A,https://www.yellowpages-uae.com/kashmir-palace-restaurant-126294.html,
Kashmir Restaurant,King Faisal R/A,Sharjah,5617,06-5335861,N/A,https://www.yellowpages-uae.com/kashmir-restaurant-133276.html,
Kayal Star Restaurant LLC,Al Qusais,Dubai,237876,04-2392891,N/A,https://www.yellowpages-uae.com/kayal-star-restaurant-llc-144639.html,
Kerala Castle Restaurant,"Near NMC Hosp, Amman Rd, Al Nahda 2",Dubai,N/A,04-2390740,N/A,https://www.yellowpages-uae.com/kerala-castle-restaurant-175235.html,
Kerala Kitchen,"Between Sana Fashion & Lulu Hypermarket, Karama",Dubai,N/A,04-3376406,N/A,https://www.yellowpages-uae.com/kerala-kitchen-143415.html,
Kerala Palace Restaurant,"Near Macro S/Market, J & P R/A, Cricket Stadium Rd",Sharjah,150020,06-5433220,N/A,https://www.yellowpages-uae.com/kerala-palace-restaurant-132433.html,
Khairat Al Madinah Restaurant,"Bhnd Citymax, Abu Shagara",Sharjah,N/A,06-5500095,N/A,https://www.yellowpages-uae.com/khairat-al-madinah-restaurant-175359.html,
Khalfan Al Jalaf Restaurant,"Al Shaab Colony, Deira",Dubai,1453,04-2626792,N/A,https://www.yellowpages-uae.com/khalfan-al-jalaf-restaurant-111935.html,
Khan's Dastarkhwan,Al Qusais,Dubai,N/A,04-2585900,N/A,https://www.yellowpages-uae.com/khan-s-dastarkhwan-144640.html,
Khanji Restaurant,"Behind Al Masah Crystal, Al Wahda Road, Abu Shagara",Sharjah,N/A,06-5770177,N/A,https://www.yellowpages-uae.com/khanji-restaurant-175592.html,
Khater Mirch Masala Restaurant LLC,Karama,Dubai,114545,04-3344334,N/A,https://www.yellowpages-uae.com/khater-mirch-masala-restaurant-llc-120924.html,
Khazana,"Bhnd American Hospital, Oud Metha Rd",Dubai,25579,04-3360061,N/A,https://www.yellowpages-uae.com/khazana-130529.html,
Khebz and Meleh Restaurent,Tawwon,Sharjah,N/A,06-5255262,N/A,https://www.yellowpages-uae.com/khebz-and-meleh-restaurent-170551.html,
Khoory Kabab Restaurant,"Near Al Manar Hotel, Behind Abjar Grand Hotel, Abu Hail",Dubai,N/A,04-2666322,N/A,https://www.yellowpages-uae.com/khoory-kabab-restaurant-175598.html,
King Chef Restaurant,"Near Al Shirawi Ent, Noor Islamic Metro Station, Al Quoz",Dubai,N/A,04-3466262,N/A,https://www.yellowpages-uae.com/king-chef-restaurant-146539.html,
King Karak Cafe,"Behind Honda Showroom, Electra Street",Abu Dhabi,N/A,02-6674752,N/A,https://www.yellowpages-uae.com/king-karak-cafe-175495.html,
King Mindi,Airport Rd,Abu Dhabi,N/A,02-6437723,N/A,https://www.yellowpages-uae.com/king-mindi-145487.html,
Kisaku,"Al Khaleej Palace Hotel, Near Etisalat Bldg, Al Maktoum Rd",Dubai,3720,04-223100,N/A,https://www.yellowpages-uae.com/kisaku-62642.html,
Kobe Sizzlers,"Office 2, The Code Building, Sheikh Khalifa Bin Zayed Street, Opposite Burjuman",Dubai,554509,04-2555816,N/A,https://www.yellowpages-uae.com/kobe-sizzlers-178713.html,
Kohat Restaurant LLC,Muroor Rd,Abu Dhabi,26952,02-4485502,N/A,https://www.yellowpages-uae.com/kohat-restaurant-llc-131732.html,
Koi Japanese Restaurant,"The Collection, Saadiyat Island",Abu Dhabi,N/A,02-6783334,N/A,https://www.yellowpages-uae.com/koi-japanese-restaurant-175704.html,
Kolkata Rolls N' Kababs,"G Flr, Block L, Opp Parking Area, Karama Souq",Dubai,81445,04-3796667,N/A,https://www.yellowpages-uae.com/kolkata-rolls-n-kababs-145665.html,
Komedor Restaurant LLC,"Shop 1, Lahej Building, Karama",Dubai,N/A,04-3940007,N/A,https://www.yellowpages-uae.com/komedor-restaurant-llc-175277.html,
Konkans Restaurant LLC,"Behind Sultan Bakeries, Najda Street",Abu Dhabi,51887,02-6760588,N/A,https://www.yellowpages-uae.com/konkans-restaurant-llc-175571.html,
Kosebasi,"JBR, JBR",Dubai,N/A,04-4393788,N/A,https://www.yellowpages-uae.com/kosebasi-102812.html,
Kozhikode Star Restaurant LLC,Deira,Dubai,N/A,04-2224650,N/A,https://www.yellowpages-uae.com/kozhikode-star-restaurant-llc-175279.html,
Krispy Kreme Doughnuts,N/A,Sharjah,N/A,600-525556,N/A,https://www.yellowpages-uae.com/krispy-kreme-doughnuts-147204.html,
Kulcha King,"Meena Bazar, Bur Dubai",Dubai,N/A,800 585242,N/A,https://www.yellowpages-uae.com/kulcha-king-175329.html,
Kumarakom Restaurant,"Al Mansour Bldg, Near Dubai Residential Oasis, Al Qusais",Dubai,N/A,04-2205858,N/A,https://www.yellowpages-uae.com/kumarakom-restaurant-68488.html,
Kuwaiti Restaurant,Dibba Al Hassan,Fujairah,12068,09-2443599,N/A,https://www.yellowpages-uae.com/kuwaiti-restaurant-122077.html,
La Brioche,Marina Mall,Abu Dhabi,N/A,02-6815531,N/A,https://www.yellowpages-uae.com/la-brioche-145583.html,
La Fontana Cafe,Hamdan St,Abu Dhabi,47838,02-6779500,N/A,https://www.yellowpages-uae.com/la-fontana-cafe-121306.html,
La Mamma,Sheraton. Al Markaziyah,Abu Dhabi,N/A,02-6970238,N/A,https://www.yellowpages-uae.com/la-mamma-175705.html,
La Parilla,Jumeirah Beach Hotel,Dubai,N/A,04-3480000,N/A,https://www.yellowpages-uae.com/la-parilla-67725.html,
La Piazza/Coffee Shop - Sands Hotel,"Near Emirates Gen Market, Electra St",Abu Dhabi,32430,02-6335335,N/A,https://www.yellowpages-uae.com/la-piazza-coffee-shop-sands-hotel-111921.html,
La Rosa Restaurant and Cafe,"Al Zarooni Building, Near Al Rigga Metro Station, Al Rigga",Dubai,1164,04-2278483,N/A,https://www.yellowpages-uae.com/la-rosa-restaurant-and-cafe-175233.html,
Labour Power Restaurant,"Near Grand Mini Mall, Jebel Ali Indl Area 2",Jebel Ali,N/A,04-8804993,N/A,https://www.yellowpages-uae.com/labour-power-restaurant-102817.html,
Lafayette Gourmet,The Dubai Mall,Dubai,N/A,04-3399933,N/A,https://www.yellowpages-uae.com/lafayette-gourmet-67410.html,
Laffah Restaurant,Qasba,Sharjah,N/A,06-5569877,N/A,https://www.yellowpages-uae.com/laffah-restaurant-175297.html,
Lahori Darbar Restaurant,Al Quoz Industrial Area 2,Dubai,393878,04-3412125,N/A,https://www.yellowpages-uae.com/lahori-darbar-restaurant-175600.html,
Lahori Pakwan Restaurant,"Opp Al Baraha Mobile Market, Deira",Dubai,N/A,04-2727065,N/A,https://www.yellowpages-uae.com/lahori-pakwan-restaurant-175278.html,
Laibense Cafe,"Al Rigga Rd, Deira",Dubai,183721,04-2943278,N/A,https://www.yellowpages-uae.com/laibense-cafe-175331.html,
Lamagon Restaurants And Sweets,Mamzar,Dubai,N/A,04-2525252,N/A,https://www.yellowpages-uae.com/lamagon-restaurants-and-sweets-175267.html,
Lanah Restaurant & Café LLC,Sh Zayed Rd,Dubai,N/A,04-3250046,N/A,https://www.yellowpages-uae.com/lanah-restaurant-café-llc-144666.html,
Landmark Restaurant,"Malmas Al Madeena H/M Bldg, Near Parco, Jebel Ali Indl Area 2",Jebel Ali,N/A,04-8840430,N/A,https://www.yellowpages-uae.com/landmark-restaurant-102818.html,
Layali,Tilal Liwa Hotel,Abu Dhabi,N/A,02-8946111,N/A,https://www.yellowpages-uae.com/layali-143722.html,
Layali Al Shaam Restaurant,TCA,Abu Dhabi,N/A,02-6741337,N/A,https://www.yellowpages-uae.com/layali-al-shaam-restaurant-145509.html,
Layaly Iskandaria,"Opp Baby Shop, Al Qassimia St",Sharjah,68573,06-5663610,N/A,https://www.yellowpages-uae.com/layaly-iskandaria-148169.html,
Lazeez Indian Cuisine,Hamdan Bin Mohamed Street,Abu Dhabi,109189,02-6777070,N/A,https://www.yellowpages-uae.com/lazeez-indian-cuisine-175508.html,
Le Beaujolais,Hamdan Street,Abu Dhabi,N/A,02-6333555,N/A,https://www.yellowpages-uae.com/le-beaujolais-175655.html,
Lebanese Mill Restaurant,Passport Road,Abu Dhabi,N/A,02-6419996,N/A,https://www.yellowpages-uae.com/lebanese-mill-restaurant-175524.html,
Lebanese Roaster,"G Flr, Al Futtaim Bldg, Opp Deira Water Tank, Deira",Dubai,N/A,04-2285905,N/A,https://www.yellowpages-uae.com/lebanese-roaster-105716.html,
Leila Restaurant,Mirdif City Centre,Dubai,N/A,056-1880045,N/A,https://www.yellowpages-uae.com/leila-restaurant-175763.html,
Lemongrass,Mushrif Mall,Abu Dhabi,N/A,02-6500205,N/A,https://www.yellowpages-uae.com/lemongrass-147964.html,
Leopolds Of London,Maryah Island,Abu Dhabi,N/A,02-6654776,N/A,https://www.yellowpages-uae.com/leopolds-of-london-175656.html,
Li Beirut,"Jumeirah Al Etihad Towers, Al Khubeirah",Abu Dhabi,N/A,02-8115555,N/A,https://www.yellowpages-uae.com/li-beirut-175706.html,
Li Jiang,"Ritz Carlton, Khor Al Maqta",Abu Dhabi,N/A,02-8188282,N/A,https://www.yellowpages-uae.com/li-jiang-175707.html,
Lifestyle Family Restaurant,"Al Ahli House - 4, Qusais",Dubai,N/A,04-2589940,N/A,https://www.yellowpages-uae.com/lifestyle-family-restaurant-143558.html,
Light Food Retaurant And Cafeteria,"Near New Burjuman Centre, Bhnd Iranian School, Karama",Dubai,N/A,04-3963562,N/A,https://www.yellowpages-uae.com/light-food-retaurant-and-cafeteria-175265.html,
Light Star Cafeteria,"Near Palm Beach Hotel, Bur Dubai",Dubai,N/A,04-3554121,N/A,https://www.yellowpages-uae.com/light-star-cafeteria-175310.html,
Little Manila Restaurant,N/A,Dubai,N/A,800 626452,N/A,https://www.yellowpages-uae.com/little-manila-restaurant-175339.html,
Lolas Best Restaurant,Jafliya,Dubai,N/A,04-3989193,N/A,https://www.yellowpages-uae.com/lolas-best-restaurant-147779.html,
London Fish & Chips,Mirdif City Centre,Dubai,N/A,800 566366,N/A,https://www.yellowpages-uae.com/london-fish-chips-175357.html,
Lubna Restaurant,"Bhnd National Bank Of Dubai, Near Astoria, Meena Bazar, Bur Dubai",Dubai,45595,04-3550498,N/A,https://www.yellowpages-uae.com/lubna-restaurant-175293.html,
Luciano,Dubai Marina,Dubai,N/A,04-3995000,N/A,https://www.yellowpages-uae.com/luciano-67732.html,
Luna Restaurant and Coffee Shop,Madhab Area,Fujairah,206,09-2233800,N/A,https://www.yellowpages-uae.com/luna-restaurant-and-coffee-shop-133648.html,
Lyari Darbar Restaurant,"Al Amal Building, Opp Old Labour Office, Near Mamzar Centre, Abu Hail",Dubai,N/A,04-2667767,N/A,https://www.yellowpages-uae.com/lyari-darbar-restaurant-175300.html,
Madeena Restaurant,Mussafah,Abu Dhabi,8586,02-5553727,N/A,https://www.yellowpages-uae.com/madeena-restaurant-113875.html,
Madeenat Haridwar Restaurant LLC,"Near Mobaila Roundabout, Qassimiya Street, Yarmook",Sharjah,N/A,06-5542929,N/A,https://www.yellowpages-uae.com/madeenat-haridwar-restaurant-llc-175593.html,
Madina Flowers Restaurant,"Between Lal's S/Market & Iranian Hospital, Satwa",Dubai,23118,04-3497126,N/A,https://www.yellowpages-uae.com/madina-flowers-restaurant-140099.html,
Madina Islamabad Restaurant,Abu Shagara,Sharjah,N/A,06-5598846,N/A,https://www.yellowpages-uae.com/madina-islamabad-restaurant-175368.html,
Madinat Salwa Restaurant,"Opp Zulekha Hospital, Al Butina",Sharjah,N/A,06-5212042,N/A,https://www.yellowpages-uae.com/madinat-salwa-restaurant-146790.html,
Madras Star Vegetarian Restaurant,Deira,Dubai,N/A,04-2660043,N/A,https://www.yellowpages-uae.com/madras-star-vegetarian-restaurant-107190.html,
Madras Vegetarian Restaurant LLC,"Near Abu Hail Metro Station, Deira",Dubai,N/A,04-2691147,N/A,https://www.yellowpages-uae.com/madras-vegetarian-restaurant-llc-105432.html,
Madurai Restaurant LLC,Hamdan St,Abu Dhabi,127473,02-6724257,N/A,https://www.yellowpages-uae.com/madurai-restaurant-llc-141969.html,
Magic Fork Restaurant,Karama,Dubai,50253,04-3972424,N/A,https://www.yellowpages-uae.com/magic-fork-restaurant-141982.html,
Maharaja Palace,Muroor Rd,Abu Dhabi,N/A,02-6429888,N/A,https://www.yellowpages-uae.com/maharaja-palace-145339.html,
Maharath Cafeteria,"Bhnd Mubarak Centre, Near Al Zarka Hotel, Al Nabba St",Sharjah,N/A,06-5636774,N/A,https://www.yellowpages-uae.com/maharath-cafeteria-148304.html,
Mahe Restaurant,"Bhnd Naif Park, Naif Rd, Deira",Dubai,4751,04-2213623,N/A,https://www.yellowpages-uae.com/mahe-restaurant-113624.html,
Mahesh Restaurant,Karama,Dubai,N/A,04-3968087,N/A,https://www.yellowpages-uae.com/mahesh-restaurant-175764.html,
Mahroof Restaurant,Khalifa St,Abu Dhabi,25708,02-6275947,N/A,https://www.yellowpages-uae.com/mahroof-restaurant-121016.html,
Majlis Pakistan Restaurant LLC,Opp Gold Center,Sharjah,N/A,06-5669347,N/A,https://www.yellowpages-uae.com/majlis-pakistan-restaurant-llc-151048.html,
Malabar Chef Restaurant,"Behind NDC, Salam Street",Abu Dhabi,N/A,02-6747220,N/A,https://www.yellowpages-uae.com/malabar-chef-restaurant-175520.html,
Malabar Restaurant,"Opp Malabar Super Market, Deira",Dubai,N/A,04-2239510,N/A,https://www.yellowpages-uae.com/malabar-restaurant-175215.html,
Malanaad Restaurant,"Bhnd SHJ Coop, Abu Shagara",Sharjah,N/A,06-5740001,N/A,https://www.yellowpages-uae.com/malanaad-restaurant-175361.html,
Mamma Italia Restaurant,Jumeira Beach Road,Dubai,N/A,04-3380872,N/A,https://www.yellowpages-uae.com/mamma-italia-restaurant-175539.html,
Mandi Plov Restaurant,"Shop 20, W 09 Building, Russia Cluster, International City",Dubai,N/A,04-4211827,N/A,https://www.yellowpages-uae.com/mandi-plov-restaurant-174449.html,
Manishaz Kitchen,Abu Shagara,Sharjah,N/A,06-5632215,N/A,https://www.yellowpages-uae.com/manishaz-kitchen-175259.html,
Mannaland Restaurant,Satwa,Dubai,N/A,04-3451300,N/A,https://www.yellowpages-uae.com/mannaland-restaurant-175765.html,
Manvaar Restaurant LLC,N/A,Dubai,49936,04-3368332,N/A,https://www.yellowpages-uae.com/manvaar-restaurant-llc-141349.html,
Marakesh,"Millenium Hotel Abu Dhabi, Khalifa St.",Abu Dhabi,N/A,02-6146000,N/A,https://www.yellowpages-uae.com/marakesh-101137.html,
Marco Pierre White Steakhouse & Grill,Farimont Bab Al Bahr,Abu Dhabi,N/A,02-6543333,N/A,https://www.yellowpages-uae.com/marco-pierre-white-steakhouse-grill-175737.html,
Mareb Mandi Restaurant,Al Garhoud,Dubai,N/A,04-2955590,N/A,https://www.yellowpages-uae.com/mareb-mandi-restaurant-175553.html,
Maria Bonita Taco Shop & Grill,Jumeirah,Dubai,N/A,04-3955576,N/A,https://www.yellowpages-uae.com/maria-bonita-taco-shop-grill-175766.html,
Marina Al Bateen Resort,Corniche,Abu Dhabi,44044,02-6651516,N/A,https://www.yellowpages-uae.com/marina-al-bateen-resort-133846.html,
Market Kitchen,"Le Royal Meridian, Al Markaziyah",Abu Dhabi,N/A,02-6742020,N/A,https://www.yellowpages-uae.com/market-kitchen-175708.html,
Marwan Murad Restaurant,Jumeirah Beach Rd,Dubai,50156,04-3453419,N/A,https://www.yellowpages-uae.com/marwan-murad-restaurant-138093.html,
Masco Group,Deira,Dubai,233891,04-2943533,N/A,https://www.yellowpages-uae.com/masco-group-161565.html,
Mashhad Restaurant,Qusais,Dubai,1492,04-2671445,N/A,https://www.yellowpages-uae.com/mashhad-restaurant-175322.html,
Massaad BBQ,"City Tower 2, Shk Zayed Road",Dubai,N/A,04-3589776,N/A,https://www.yellowpages-uae.com/massaad-bbq-175565.html,
Mawal Restaurants Management LLC,Hamdan St,Abu Dhabi,34836,02-6721999,N/A,https://www.yellowpages-uae.com/mawal-restaurants-management-llc-138524.html,
Mawaweel Restaurant,N/A,Abu Dhabi,93576,02-6391333,N/A,https://www.yellowpages-uae.com/mawaweel-restaurant-145341.html,
Mawlana Turkish Restaurant,Deira,Dubai,294912,04-2956868,N/A,https://www.yellowpages-uae.com/mawlana-turkish-restaurant-157886.html,
Maxine Cafe Restaurants,"Jumeirah Road, Street 51, Jumeirah 1",Dubai,N/A,04-3496020,N/A,https://www.yellowpages-uae.com/maxine-cafe-restaurants-175560.html,
Mazaree Al Sham Barbecue,"Beach Road, Umm Suqeim 2",Dubai,N/A,04-3883446,N/A,https://www.yellowpages-uae.com/mazaree-al-sham-barbecue-175554.html,
McDonalds,Dubai Festival City Business Bay Crossing,Dubai,24119,04-2329445,N/A,https://www.yellowpages-uae.com/mcdonalds-160036.html,
Meenatshi Chettinadu Restaurant LLC,Al Quoz,Dubai,34722,04-3403345,N/A,https://www.yellowpages-uae.com/meenatshi-chettinadu-restaurant-llc-129667.html,
Meeting Point Cafeteria LLC,"Near Shindaga City Centre, Al Ghubaiba Rd, Opp Etisalat, Bur Dubai",Dubai,N/A,04-3543701,N/A,https://www.yellowpages-uae.com/meeting-point-cafeteria-llc-175304.html,
Meknaz Restaurant,N/A,Abu Dhabi,N/A,02-6778813,N/A,https://www.yellowpages-uae.com/meknaz-restaurant-145342.html,
Memsaab Restaurant,JLT,Dubai,N/A,04-4429816,N/A,https://www.yellowpages-uae.com/memsaab-restaurant-175767.html,
Meshmesh Pizzeria,N/A,Abu Dhabi,N/A,02-6765478,N/A,https://www.yellowpages-uae.com/meshmesh-pizzeria-175499.html,
Mezbaan Hyderabad Restaurant,Bur Dubai,Dubai,45076,04-3517863,N/A,https://www.yellowpages-uae.com/mezbaan-hyderabad-restaurant-106308.html,
Mezlai,"Emirates Palace Hotel, Ras Al Akhdar",Abu Dhabi,N/A,02-6909000,N/A,https://www.yellowpages-uae.com/mezlai-175710.html,
Mezzaluna,"Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,N/A,02-6907999,N/A,https://www.yellowpages-uae.com/mezzaluna-175738.html,
Mini Chinese Restaurant,"Al Diyafa St, Satwa",Dubai,1038,04-3459976,N/A,https://www.yellowpages-uae.com/mini-chinese-restaurant-105465.html,
Mini Punjab Restaurant,"Bhnd Natl Bank of Dubai, Al Fahidi St, Bur Dubai",Dubai,184341,04-3515436,N/A,https://www.yellowpages-uae.com/mini-punjab-restaurant-135912.html,
Mint and Olive Restaurant,Discovery Gardens,Dubai,487497,04-4409844,N/A,https://www.yellowpages-uae.com/mint-and-olive-restaurant-147253.html,
Mir Amin Lebanese Cuisine,Jumeirah,Dubai,500069,04-3449921,N/A,https://www.yellowpages-uae.com/mir-amin-lebanese-cuisine-132668.html,
Mobeen Restaurant,"Hatta Rd, Aweer",Dubai,60680,04-2870393,N/A,https://www.yellowpages-uae.com/mobeen-restaurant-120111.html,
Modern Food Care Restaurant LLC,Khalidiya,Abu Dhabi,N/A,02-6395544,N/A,https://www.yellowpages-uae.com/modern-food-care-restaurant-llc-147965.html,
Modern Restaurant,"New West Accommodation Area, Jafza",Dubai,N/A,04-8838822,N/A,https://www.yellowpages-uae.com/modern-restaurant-148354.html,
Mohini Restaurant,N/A,Abu Dhabi,N/A,02-6760240,N/A,https://www.yellowpages-uae.com/mohini-restaurant-175517.html,
Momento Cafe Restaurant and Catering,Abu Dhabi Mall,Abu Dhabi,52203,02-6760444,N/A,https://www.yellowpages-uae.com/momento-cafe-restaurant-and-catering-108152.html,
Momos Magic,"Level 3, Oasis Centre",Dubai,N/A,055-8028677,N/A,https://www.yellowpages-uae.com/momos-magic-175564.html,
